nohup: ignoring input
 * Running on http://0.0.0.0:5000/ (Press CTRL+C to quit)
218.30.116.4 - - [04/Jun/2015 09:26:48] "GET /static/img/thumbs/square/486dba2af57a74637ca78eaeec9c95a816d90f10.jpg HTTP/1.1" 304 -
218.30.116.4 - - [04/Jun/2015 09:26:48] "GET /static/img/thumbs/square/5f51182b69d291528c7985ee1bde123548ffc9ad.jpg HTTP/1.1" 304 -
218.30.116.4 - - [04/Jun/2015 09:26:48] "GET /static/img/thumbs/square/b21ffa4bb68765f184df4c162684882a2b6163e2.jpg HTTP/1.1" 304 -
218.30.116.10 - - [04/Jun/2015 09:26:48] "GET /static/img/thumbs/square/ca2fce61c856faa7caf071df437c1148002799a1.jpg HTTP/1.1" 304 -
218.30.116.3 - - [04/Jun/2015 09:26:48] "GET /static/img/thumbs/square/66e6583735420589f46491f063933f8b1921b2b0.jpg HTTP/1.1" 304 -
218.30.116.9 - - [04/Jun/2015 09:26:48] "GET /static/img/thumbs/square/ad3e3dd60f85b988f5686e6b3623eb4387ad6350.jpg HTTP/1.1" 200 -
218.30.116.9 - - [04/Jun/2015 09:26:48] "GET /static/img/thumbs/square/998fb1fca0d3b67a786ec30a4670ee614cceb689.jpg HTTP/1.1" 200 -
218.30.116.8 - - [04/Jun/2015 09:26:48] "GET /static/img/thumbs/square/0149989a93d557adc729f24d54abb85b69161231.jpg HTTP/1.1" 200 -
218.30.116.7 - - [04/Jun/2015 09:27:08] "GET /list_item?category=running HTTP/1.1" 200 -
218.30.116.9 - - [04/Jun/2015 09:27:09] "GET /static/img/thumbs/square/039fbbdfd27c723b6f1450859851f84240701989.jpg HTTP/1.1" 200 -
218.30.116.8 - - [04/Jun/2015 09:27:09] "GET /static/img/thumbs/square/.jpg HTTP/1.1" 404 -
218.30.116.4 - - [04/Jun/2015 09:27:09] "GET /static/img/thumbs/square/4b59647f9e7f75881bf9deca3b3bc533452a5eba.jpg HTTP/1.1" 200 -
218.30.116.7 - - [04/Jun/2015 09:27:09] "GET /static/img/thumbs/square/9a8bade20cf5c5e21ccfd01623625626881ff1a3.jpg HTTP/1.1" 200 -
218.30.116.7 - - [04/Jun/2015 10:26:01] "GET /list_item?category=running HTTP/1.1" 200 -
218.30.116.10 - - [04/Jun/2015 10:26:01] "GET /static/js/bootstrap.min.js HTTP/1.1" 304 -
218.30.116.8 - - [04/Jun/2015 10:26:01] "GET /static/img/thumbs/square/039fbbdfd27c723b6f1450859851f84240701989.jpg HTTP/1.1" 304 -
218.30.116.7 - - [04/Jun/2015 10:26:01] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 -
218.30.116.3 - - [04/Jun/2015 10:26:02] "GET /static/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
218.30.116.3 - - [04/Jun/2015 10:26:02] "GET /static/img/thumbs/square/4b59647f9e7f75881bf9deca3b3bc533452a5eba.jpg HTTP/1.1" 304 -
